MMSID|title_parent|processing_type|processing_rules|processing_options|publication_key|title_code|edition_discriminators|section_codes|sequence_letters|Access|Magazine|ingest_status|Frequency|entity_type|title_mets|ISSN online|Bib ID|Access condition|Date catalogued|Collector_folder|Cataloguer|Notes|first_issue_starting_page|last_issue_starting_page|has_volume_md|has_issue_md|has_number_md|previous_volume|previous_volume_date|previous_volume_frequency|previous_issue|previous_issue_date|previous_issue_frequency|previous_number|previous_number_date|previous_number_frequency|
9917982733502836|Ag Trader|parent_grouping||alpha_before_numeric||AGT||ED1+QFS||200|1|STA||PER|Ag Trader||1798273|100-P|30/06/2016|Ag_Trader|Denise||||0|0|0||||||||||
9917952983502836|The Bay Chronicle|parent_grouping||numeric_before_alpha|title_code|BAC||ED1||200|0|STA||PER|Bay Chronicle|||||The_Bay_Chronicle||Fairfax updated title code|||0|0|0||||||||||
9917979753502836|Cambridge Edition|parent_grouping||numeric_before_alpha|title_code|CAE||ED1+QFS||200|0|STA||PER|Cambridge Edition|||||Cambridge_Edition||Fairfax updated title code|||0|0|0||||||||||
9917960423502836|Central Leader|parent_grouping||numeric_before_alpha|title_code|CEL||ED1||200|0|STA||PER|Central Leader|||||Central_Leader||Fairfax updated title code|||0|0|0||||||||||
9917963133502836|The Dominion Post|parent_grouping||numeric_before_alpha|title_code|DOM|ED1+ED2+ED3|ED1+TAB+YWE+QFS||200|0|TEC||PER|Dominion Post|||||The_Dominion_Post||Fairfax updated title code|||0|0|0||||||||||
9917963903502836|The Dominion Post|supplement_grouping||alpha_before_numeric||DOM||YWE||200|0|SUP|Saturday|SS|Your weekend|||||The_Dominion_Post||Fairfax updated title code|||||||||||||||
9917964493502836|The Dominion Post|supplement_grouping||alpha_before_numeric||DOM||ED1|T|200|0|SUP|Tuesday|SS|TV week||1796449|200|16/06/2016|The_Dominion_Post|Denise|T Prefix before page number. Fairfax updated title code to DOM|DPTED1-20150707-T01||0|0|0||||||||||
9917930793502836|East & Bays Courier|parent_grouping||numeric_before_alpha|title_code|EAB||ED1||200|0|STA||PER|East & Bays Courier|||||East_&_Bays_Courier||Fairfax updated title code|||0|0|0||||||||||
9917951973502836|Eastern Courier|parent_grouping||numeric_before_alpha|title_code|EAC||ED1||200|0|PIL||PER|Eastern Courier|||||Eastern_Courier||Fairfax updated title code|||0|0|0||||||||||
9919122716002836|Farming first|parent_grouping||numeric_before_alpha|title_code|FAF||ED1||200|0|STA||PER|Farming first|||||Farming first||Fairfax updated title code|||0|0|0||||||||||
9919151788902836|Farming first|parent_grouping||numeric_before_alpha|title_code|FAW||ED1||200|0|STA||PER|Farming first|||||Farming first||Fairfax updated title code|||0|0|0||||||||||
9917921803502836|Feilding-Rangitikei Herald|parent_grouping||numeric_before_alpha|title_code|FER||ED1+QFS||200|0|STA||PER|Feilding-Rangitikei Herald|||||Feilding_Herald||Fairfax updated title code|||0|0|0||||||||||
9917926363502836|Far North Real Estate|parent_grouping||alpha_before_numeric|title_code|FRE||ED1||200|0|PIL||PER|Far North Real Estate||1792636|100|3/06/2016|Far_North_Real_Estate|Denise||||0|0|0||||||||||
9917905833502836|Franklin County News|parent_grouping||numeric_before_alpha|title_code|FRC||ED1+SPC+QFS||200|0|STA||PER|Franklin County News|||||Franklin_County_News||Fairfax updated title code|||0|0|0||||||||||
9915719963502836|Get Growing|parent_grouping||alpha_before_numeric|title_code|GTG||ED1||200|1|STA||PER|Get growing||||7/06/2017|Get_growing|Christina||||0|0|0||||||||||
9917905183502836|Hauraki Herald|parent_grouping||numeric_before_alpha|title_code|HAH||ED1+SPC+QFS||200|0|STA||PER|Hauraki Herald|||||Hauraki_Herald||Fairfax updated title code|||0|0|0||||||||||
